#GroupName	ProteinCount	SpeciesCount	FunctionalCategory	ConsensusFunctionalDescription
VOG00348	45	12	Xu	REFSEQ hypothetical protein
VOG00349	80	72	Xu	sp|Q5UPH8|YR106_MIMIV Uncharacterized protein R106
VOG00350	207	206	Xu	REFSEQ terminase small subunit P27 family
VOG00351	18	18	XhXr	sp|A4ZU91|DPOL_ABVP DNA polymerase
VOG00352	1122	1089	Xh	sp|P69924|RIR2_ECOLI Ribonucleoside-diphosphate reductase 1 subunit beta
VOG00353	237	74	Xu	REFSEQ hypothetical protein
VOG00354	67	56	Xu	REFSEQ hypothetical protein
VOG00355	578	468	XhXr	sp|P00573|RPOL_BPT7 T7 RNA polymerase
VOG00356	153	153	Xu	REFSEQ hypothetical protein
VOG00357	23	21	Xu	REFSEQ neck passage structure
VOG00358	71	70	Xh	sp|Q7T6X6|GFAT_MIMIV Probable glutamine--fructose-6-phosphate aminotransferase [isomerizing]
VOG00359	24	24	Xu	REFSEQ putative tail fiber protein
VOG00360	134	134	Xu	REFSEQ hypothetical protein
VOG00361	1022	1012	Xu	sp|Q05235|VG28_BPML5 Minor tail protein Gp28
VOG00362	33	33	Xs	sp|Q38580|SCAF_BPSPP Capsid assembly scaffolding protein
VOG00363	77	76	Xu	REFSEQ hypothetical protein
VOG00364	174	144	XhXr	sp|P30876|RPB2_HUMAN DNA-directed RNA polymerase II subunit RPB2
VOG00365	22	22	Xu	REFSEQ hypothetical protein
VOG00366	89	89	XpXs	sp|O56129|CAPSD_PCV2 Capsid protein
VOG00367	62	20	Xu	sp|Q5UPC8|YL054_MIMIV Uncharacterized protein L54
VOG00368	229	130	XhXpXs	sp|P04011|VP2_POVLY Minor capsid protein VP2
VOG00369	159	153	XhXr	sp|C5IY43|NS1_HBOC4 Initiator protein NS1
VOG00370	196	195	Xr	sp|Q9MCN8|RUSA_BPHK7 Crossover junction endodeoxyribonuclease rusA
VOG00371	382	375	Xs	sp|P11110|NECK1_BPT4 Neck protein gp13
VOG00372	129	127	Xu	REFSEQ hypothetical protein
VOG00373	61	60	Xu	REFSEQ hypothetical protein
VOG00374	59	59	Xu	REFSEQ hypothetical protein
VOG00375	48	20	Xu	REFSEQ hypothetical protein
VOG00376	14	13	Xu	REFSEQ hypothetical protein
VOG00377	156	156	Xu	sp|P18057|Y02D_BPT4 Uncharacterized 14.1 kDa protein in imm-Gp43 intergenic region
VOG00378	27	25	Xu	REFSEQ hypothetical protein
VOG00379	18	2	Xu	REFSEQ hypothetical protein
VOG00380	66	61	Xu	REFSEQ hypothetical protein
VOG00381	15	15	Xu	sp|Q5UPT5|YL246_MIMIV Uncharacterized protein L246
VOG00382	351	351	Xu	sp|P15032|RECE_ECOLI Exodeoxyribonuclease 8
VOG00383	347	337	Xp	sp|P00641|ENDO_BPT7 Endonuclease I
VOG00384	139	138	Xs	sp|Q9XJR2|P5_BPPM2 Protein P5
VOG00385	58	58	Xu	REFSEQ hypothetical protein
VOG00386	30	30	Xp	sp|P00641|ENDO_BPT7 Endonuclease I
VOG00387	10	10	Xu	REFSEQ tail protein
VOG00388	36	35	Xh	sp|Q4JC00|HELS_SULAC ATP-dependent DNA helicase Hel308
VOG00389	806	594	XhXr	sp|O64301|LOADL_BPR69 Sliding-clamp-loader large subunit
VOG00390	17	17	XhXpXs	sp|P10930|FIB12_BPT4 Short tail fiber protein gp12
VOG00391	406	405	Xu	sp|O31907|YORG_BACSU SPbeta prophage-derived uncharacterized protein YorG
VOG00392	279	279	XhXp	sp|P39503|SPAN2_BPT4 Spanin, outer lipoprotein subunit
VOG00393	58	51	Xs	sp|Q5UQ83|YR526_MIMIV Putative alpha/beta hydrolase R526
VOG00394	400	396	Xu	sp|P04533|VG57B_BPT4 Gene 57B protein
VOG00395	197	196	Xu	REFSEQ CHAP domain-containing protein
VOG00396	41	32	Xu	sp|Q51647|YISX_BURM1 Insertion element IS401 uncharacterized 12.4 kDa protein
VOG00397	139	103	Xu	REFSEQ hypothetical protein
VOG00398	12	12	Xu	REFSEQ hypothetical protein
VOG00399	79	78	Xh	sp|P20703|UVSW_BPT4 ATP-dependent DNA helicase uvsW
VOG00400	174	167	Xu	REFSEQ hypothetical protein
VOG00401	33	30	Xu	REFSEQ hypothetical protein
VOG00402	65	65	Xu	sp|O64200|VG04_BPMD2 Gene 4 protein
VOG00403	56	53	Xu	REFSEQ tail assembly chaperone
VOG00404	12	12	Xu	REFSEQ endolysin
VOG00405	21	21	Xu	REFSEQ hypothetical protein
VOG00406	12	12	Xh	sp|O64299|EXO2_BPR69 Exonuclease subunit 2
VOG00407	14	14	Xu	sp|Q03547|VEAE_BPP22 Eae protein
VOG00408	544	543	XhXs	sp|Q38442|GP7_BPSPP Minor head protein GP7
VOG00409	34	34	Xu	REFSEQ hemolysin XhlA family protein
VOG00410	58	34	Xu	sp|O57167|C10_VACCA Protein C10
VOG00411	326	195	XhXs	sp|Q38424|ALT_BPT2 NAD(+)--arginine ADP-ribosyltransferase
VOG00412	93	24	Xu	REFSEQ putative virion structural protein
VOG00413	126	126	Xu	REFSEQ hypothetical protein
VOG00414	224	224	Xu	REFSEQ holin
VOG00415	17	9	Xu	REFSEQ hypothetical protein
VOG00416	62	38	Xh	sp|P0AGC9|QACE_ECOLX Quaternary ammonium compound-resistance protein QacE
VOG00417	63	26	Xu	sp|Q5UQZ0|YR895_MIMIV Uncharacterized protein R895
VOG00418	30	30	Xu	REFSEQ hypothetical protein
VOG00419	14	13	Xu	REFSEQ HNH endonuclease
VOG00420	20	16	Xu	REFSEQ hypothetical protein
VOG00421	32	32	Xu	REFSEQ hypothetical protein
VOG00422	28	28	Xu	REFSEQ hypothetical protein
VOG00423	34	33	Xu	REFSEQ hypothetical protein
VOG00424	75	71	Xu	REFSEQ hypothetical protein
VOG00425	541	541	Xu	sp|Q05227|VG21_BPML5 Gene 21 protein
VOG00426	58	58	Xu	sp|Q03209|P78_NPVAC Protein P78/83
VOG00427	43	40	Xh	sp|P02466|CO1A2_RAT Collagen alpha-2(I) chain
VOG00428	104	102	Xu	sp|P03765|NINB_LAMBD Protein ninB
VOG00429	42	41	Xu	REFSEQ HNH endonuclease
VOG00430	32	32	Xr	sp|P03688|VRPO_LAMBD Replication protein O
VOG00431	85	78	XhXs	sp|Q5UQ50|COLL6_MIMIV Collagen-like protein 6
VOG00432	36	36	Xr	sp|P09504|P0_TYYVF Suppressor of silencing P0
VOG00433	115	115	XhXrXs	sp|P89876|POLG_LMVE Genome polyprotein
VOG00434	45	41	Xh	sp|P06653|ALYS_STRPN Autolysin
VOG00435	56	18	Xu	sp|Q5UPJ3|YL116_MIMIV Uncharacterized protein L116
VOG00436	36	22	Xu	REFSEQ hypothetical protein
VOG00437	20	11	Xu	REFSEQ hypothetical protein
VOG00438	24	8	Xu	REFSEQ hypothetical protein
VOG00439	102	101	Xu	REFSEQ hypothetical protein
VOG00440	35	35	Xu	REFSEQ hypothetical protein
VOG00441	29	18	XhXr	sp|P43138|APEX1_RAT DNA-(apurinic or apyrimidinic site) endonuclease
VOG00442	26	5	Xp	sp|F5HF68|VIRF1_HHV8P VIRF-1
VOG00443	361	361	XhXp	sp|Q38134|HOLIN_BPR1T Holin
VOG00444	61	53	Xu	REFSEQ hypothetical protein
VOG00445	11	11	Xu	REFSEQ hypothetical protein
VOG00446	39	39	Xu	REFSEQ hypothetical protein
VOG00447	58	56	Xh	sp|B2J384|SYK_NOSP7 Lysine--tRNA ligase
VOG00448	67	36	Xh	sp|Q5UPT0|LONH_MIMIV Lon protease homolog
VOG00449	39	34	Xh	sp|O31986|SUNS_BACSU SPbeta prophage-derived glycosyltransferase SunS
VOG00450	40	34	XhXpXs	sp|P13390|FIBL1_BPT5 Side tail fiber protein pb1
VOG00451	97	97	Xu	sp|P41729|Y098_GVCL Uncharacterized 41.0 kDa protein in P143-LEF5 intergenic region
VOG00452	71	71	Xu	sp|P10426|YIM2_BPPH1 Uncharacterized immunity region protein 2
VOG00453	172	172	Xu	REFSEQ dUTPase
VOG00454	59	41	Xu	sp|Q5UNY3|YL729_MIMIV Uncharacterized protein L729
VOG00455	126	91	XhXpXs	sp|Q8SCY1|EXLYS_BPDPK Peptidoglycan hydrolase gp181
VOG00456	100	72	Xu	REFSEQ hypothetical protein
VOG00457	392	385	XhXs	sp|P17172|BP27_BPT4 Baseplate central spike complex protein gp27
VOG00458	53	30	Xu	REFSEQ hypothetical protein
VOG00459	45	36	Xh	sp|Q8QL34|Y335_SIRV1 Uncharacterized glycosyltransferase 335
VOG00460	95	4	Xu	REFSEQ hypothetical protein
VOG00461	38	35	Xu	REFSEQ hypothetical protein
VOG00462	88	44	Xh	sp|P68636|CRMB_CAMPM Soluble TNF receptor II
VOG00463	38	36	Xu	sp|Q1KZ54|P24_CILVC Uncharacterized protein p24
VOG00464	64	63	XhXpXrXs	sp|Q65900|POLG_CX16G Genome polyprotein
VOG00465	126	126	Xu	REFSEQ terminase
VOG00466	29	29	Xs	sp|P0C778|MP2_CARMS Double gene block protein 2
VOG00467	46	45	XhXs	sp|P07613|L2_VACCW Protein L2
VOG00468	92	91	Xs	sp|B0ZSH1|TMP_BPHA1 Probable tape measure protein
VOG00469	47	47	Xu	REFSEQ hypothetical protein
VOG00470	215	212	Xr	sp|P20313|SSB_BPT3 Single-stranded DNA-binding protein
VOG00471	259	254	Xu	sp|P44180|Y1405_HAEIN Uncharacterized protein HI_1405
VOG00472	102	84	Xu	REFSEQ hypothetical protein
VOG00473	124	122	Xh	sp|Q06717|GSTG_BPT2 Beta-glucosyl-HMC-alpha-glucosyl-transferase
VOG00474	17	14	Xu	sp|P39241|MOBD_BPT4 Probable mobile endonuclease D
VOG00475	56	56	Xu	REFSEQ hypothetical protein
VOG00476	16	16	Xh	sp|P39800|XLYA_BACSU N-acetylmuramoyl-L-alanine amidase XlyA
VOG00477	109	93	Xu	REFSEQ hypothetical protein
VOG00478	83	83	Xu	REFSEQ hypothetical protein
VOG00479	28	13	Xu	sp|Q5UQ61|YR661_MIMIV Uncharacterized protein R661
VOG00480	44	43	XhXp	sp|O48470|HOL24_BPSPP Holin-like protein 24.1
VOG00481	190	184	Xu	sp|P39416|Y00F_BPT4 Uncharacterized 19.7 kDa protein in motB-dexA intergenic region
VOG00482	140	140	Xu	REFSEQ hypothetical protein
VOG00483	366	365	Xs	sp|P20324|SCAF_BPT3 Capsid assembly scaffolding protein
VOG00484	53	15	Xu	REFSEQ hypothetical protein
VOG00485	353	352	Xr	sp|P03693|TERS_BPT7 Terminase, small subunit gp18
VOG00486	17	16	Xu	REFSEQ hypothetical protein
VOG00487	22	18	Xu	REFSEQ hypothetical protein
VOG00488	170	159	Xh	sp|P07068|PIN_BPT4 Host protease inhibitor
VOG00489	16	15	Xu	REFSEQ hypothetical protein
VOG00490	78	39	Xu	REFSEQ hypothetical protein
VOG00491	17	7	Xu	REFSEQ hypothetical protein
VOG00492	120	120	XhXs	sp|O64325|COMPL_BPN15 Tail completion protein
VOG00493	17	16	Xu	REFSEQ hypothetical protein
VOG00494	257	256	XhXs	sp|Q6QGD9|HCP_BPT5 Head completion protein
VOG00495	14	14	Xu	REFSEQ head-tail connector protein
VOG00496	120	117	Xu	REFSEQ hypothetical protein
VOG00497	21	20	Xu	REFSEQ hypothetical protein
VOG00498	17	17	Xu	REFSEQ hypothetical protein
VOG00499	37	29	Xu	REFSEQ hypothetical protein
VOG00500	50	50	Xh	sp|Q1RHI6|QUED_RICBR 6-carboxy-5,6,7,8-tetrahydropterin synthase
VOG00501	210	210	Xu	REFSEQ hypothetical protein
VOG00502	16	13	Xu	REFSEQ hypothetical protein
VOG00503	1508	913	XrXs	sp|O64219|TAP25_BPMD2 Tail assembly protein Gp25
VOG00504	777	435	Xh	sp|P07065|TOP5_BPT4 DNA topoisomerase medium subunit
VOG00505	85	71	Xu	REFSEQ hypothetical protein
VOG00506	23	21	Xu	REFSEQ structural protein
VOG00507	15	15	XhXs	sp|B0FIH7|FIB11_BPE32 Probable tail fiber protein
VOG00508	1448	1379	XhXr	sp|P04520|PRIM_BPT4 DNA primase
VOG00509	90	87	XhXs	sp|P25478|SCAF_BPP2 Capsid assembly scaffolding protein
VOG00510	20	20	XhXp	sp|P06855|KIPN_BPT4 Polynucleotide kinase
VOG00511	80	80	Xh	sp|Q254J6|ACP_CHLFF Acyl carrier protein
VOG00512	707	675	XhXr	sp|P16006|DCTD_BPT4 Deoxycytidylate deaminase
VOG00513	95	80	Xu	REFSEQ hypothetical protein
VOG00514	158	144	Xu	sp|Q03183|RINB_BPPHA Transcriptional activator rinB
VOG00515	438	437	Xu	sp|P32276|Y12G_BPT4 Uncharacterized 17.1 kDa protein in Gp30-rIII intergenic region
VOG00516	44	44	Xu	REFSEQ hypothetical protein
VOG00517	44	38	Xr	sp|P16942|T629_SHISO Transposase for insertion sequence element IS629
VOG00518	56	45	Xh	sp|P26195|CH10_TATMI Co-chaperonin GroES
VOG00519	120	120	Xu	REFSEQ hypothetical protein
VOG00520	52	52	Xu	REFSEQ hypothetical protein
VOG00521	3364	3143	XhXpXrXs	sp|P16009|NEEDL_BPT4 Pre-baseplate central spike protein Gp5
VOG00522	18	13	XhXs	sp|Q5UQ13|COLL2_MIMIV Collagen-like protein 2
VOG00523	118	52	XhXr	sp|A5UH19|RPOC_HAEIG DNA-directed RNA polymerase subunit beta'
VOG00524	38	38	Xu	REFSEQ capsid maturation protease
VOG00525	238	208	Xu	REFSEQ hypothetical protein
VOG00526	47	46	XhXr	sp|B0R7H7|RFCS_HALS3 Replication factor C small subunit
VOG00527	190	187	Xu	sp|Q05247|VG37_BPML5 Gene 37 protein
VOG00528	111	51	Xu	sp|Q5UP23|YR260_MIMIV DnaJ-like protein R260
VOG00529	38	38	Xu	REFSEQ hypothetical protein
VOG00530	61	61	Xh	sp|Q16774|KGUA_HUMAN Guanylate kinase
VOG00531	58	58	Xu	REFSEQ hypothetical protein
VOG00532	90	88	Xu	REFSEQ hypothetical protein
VOG00533	349	349	XhXp	sp|P39504|SPAN1_BPT4 Spanin, inner membrane subunit
VOG00534	24	24	Xu	REFSEQ hypothetical protein
VOG00535	27	23	Xu	sp|P15075|HDNUC_BPT4 Head completion nuclease
VOG00536	13	10	Xu	sp|Q8QVL5|ORF3_TTVF1 Uncharacterized ORF3 protein
VOG00537	235	234	Xu	REFSEQ VRR-NUC domain-containing protein
VOG00538	21	21	Xu	REFSEQ hypothetical protein
VOG00539	30	3	Xu	REFSEQ membrane protein EE40
VOG00540	70	58	Xs	sp|Q5UP30|YL851_MIMIV Uncharacterized protein L851
VOG00541	35	34	Xu	sp|Q197E1|VF201_IIV3 Putative Bro-N domain-containing protein 019R
VOG00542	28	24	XhXp	sp|P04297|K1_VACCW Interferon antagonist K1L
VOG00543	16	16	Xu	REFSEQ hypothetical protein
VOG00544	57	57	Xu	sp|Q8QL46|Y56B_SIRV1 Uncharacterized protein 56B
VOG00545	14	12	Xu	REFSEQ hypothetical protein
VOG00546	37	37	Xu	REFSEQ hypothetical protein
VOG00547	18	10	Xu	REFSEQ hypothetical protein
VOG00548	35	27	Xu	REFSEQ hypothetical protein
VOG00549	12	9	Xu	REFSEQ hypothetical protein
VOG00550	46	46	Xu	REFSEQ portal protein
VOG00551	13	13	Xu	sp|P18305|443R_IIV6 Uncharacterized protein 443R
VOG00552	35	32	Xs	sp|P85503|STRU3_BPPAJ Structural protein 3
VOG00553	52	51	XhXs	sp|P0DSW1|A13_VAR67 Virion membrane protein A13
VOG00554	162	154	Xu	REFSEQ hypothetical protein
VOG00555	48	48	Xu	sp|Q8QL42|Y207_SIRV1 Uncharacterized protein 207
VOG00556	60	16	Xu	sp|Q5UQY7|YR898_MIMIV Uncharacterized protein R898
VOG00557	15	10	Xu	REFSEQ hypothetical protein
VOG00558	63	63	XhXp	sp|Q37975|HOLIN_BPA18 Putative antiholin
VOG00559	75	21	Xu	REFSEQ hypothetical protein
VOG00560	65	60	Xu	REFSEQ hypothetical protein
VOG00561	13	10	XpXrXs	sp|Q6XQC4|TMP_BPT1 Tape measure protein
VOG00562	16	10	Xh	sp|O82150|FTSH_TOBAC ATP-dependent zinc metalloprotease FTSH, chloroplastic
VOG00563	65	56	Xu	REFSEQ hypothetical protein
VOG00564	25	10	Xu	REFSEQ virion structural protein
VOG00565	22	21	Xu	REFSEQ hypothetical protein
VOG00566	27	26	Xu	REFSEQ hypothetical protein
VOG00567	50	47	Xu	REFSEQ hypothetical protein
VOG00568	65	65	Xu	REFSEQ hypothetical protein
VOG00569	9	9	Xu	REFSEQ RNA-dependent RNA polymerase
VOG00570	81	80	XhXrXs	sp|Q5UPX7|RPO5_MIMIV DNA-directed RNA polymerase subunit 5
VOG00571	20	17	Xu	REFSEQ hypothetical protein
VOG00572	14	14	XhXpXs	sp|P03744|FIB37_BPT4 Long-tail fiber protein gp37
VOG00573	59	59	Xu	sp|Q8QL42|Y207_SIRV1 Uncharacterized protein 207
VOG00574	14	2	Xu	REFSEQ hypothetical protein
VOG00575	149	148	XhXr	sp|P46850|RTCB_ECOLI RNA-splicing ligase RtcB
VOG00576	62	21	Xu	REFSEQ hypothetical protein
VOG00577	146	146	Xu	sp|O64268|VG87_BPMD2 Gene 87 protein
VOG00578	38	38	Xu	sp|Q04580|VNBP_SHVX 14.7 kDa protein
VOG00579	399	385	XpXrXs	sp|P03728|PORTL_BPT7 Portal protein
VOG00580	60	58	Xr	sp|Q5UQK9|RFCL_MIMIV Putative replication factor C large subunit
VOG00581	258	255	Xu	REFSEQ hypothetical protein
VOG00582	94	77	Xu	REFSEQ hypothetical protein
VOG00583	56	56	XhXp	sp|P06023|GAM_BPMU Putative DNA ends protecting protein gam
VOG00584	45	16	Xu	sp|Q5URA4|YL144_MIMIV Uncharacterized protein L144
VOG00585	192	192	Xu	REFSEQ hypothetical protein
VOG00586	12	12	Xu	REFSEQ hypothetical protein
VOG00587	73	72	XhXr	sp|P09506|P1_TYYVF Protein P1
VOG00588	54	50	Xu	sp|P24654|Y004_NPVAC Uncharacterized 17.6 kDa protein in CTL-LEF2 intergenic region
VOG00589	27	27	XhXr	sp|P54634|POLG_LORDV Genome polyprotein
VOG00590	137	127	Xu	sp|Q9J5H2|V029_FOWPN Putative peptidyl-tRNA hydrolase
VOG00591	167	161	Xu	REFSEQ hypothetical protein
VOG00592	81	81	Xu	REFSEQ HK97 gp10 family protein
VOG00593	24	19	Xu	REFSEQ hypothetical protein
VOG00594	181	178	Xs	sp|Q9QBU3|CAPSD_POLVP Capsid protein
VOG00595	77	25	Xs	sp|Q5UNW2|YR706_MIMIV Uncharacterized protein R706
VOG00596	31	26	Xu	REFSEQ hypothetical protein
VOG00597	102	101	XhXrXs	sp|P0CK08|MVP_SBMVN P3N-PIPO polyprotein
VOG00598	206	190	Xu	REFSEQ hypothetical protein
VOG00599	9	9	Xu	REFSEQ tape measure protein
VOG00600	29	16	Xu	sp|Q5UP88|YR010_MIMIV Uncharacterized protein R10
VOG00601	80	80	Xu	REFSEQ DUF1833 family protein
VOG00602	104	104	Xu	sp|O34055|ARPU_BPO12 Putative autolysin regulatory protein ArpU
VOG00603	42	39	Xu	REFSEQ hypothetical protein
VOG00604	188	184	Xu	REFSEQ hypothetical protein
VOG00605	43	43	Xu	REFSEQ hypothetical protein
VOG00606	21	14	Xh	sp|Q07943|VDP_BOMMO Vitellin-degrading protease
VOG00607	133	133	Xu	REFSEQ virulence-associated E family protein
VOG00608	10	10	Xu	REFSEQ hypothetical protein
VOG00609	17	15	Xu	REFSEQ hypothetical protein
VOG00610	54	53	Xs	sp|O22005|TFA_BPSF5 Probable tail fiber assembly protein
VOG00611	43	43	Xu	REFSEQ E4
VOG00612	83	3	Xu	REFSEQ hypothetical protein
VOG00613	61	60	Xu	REFSEQ hypothetical protein
VOG00614	37	37	XhXr	sp|P04518|RDRP_CARMV RNA-directed RNA polymerase
VOG00615	318	314	Xh	sp|Q99KQ4|NAMPT_MOUSE Nicotinamide phosphoribosyltransferase
VOG00616	446	445	XhXr	sp|Q67621|AC4_TYCS2 Protein C4
VOG00617	27	11	Xu	REFSEQ hypothetical protein
VOG00618	50	50	Xu	REFSEQ hypothetical protein
VOG00619	320	313	Xu	sp|Q01434|Y00D_BPT4 Uncharacterized 5.1 kDa protein in Gp39-comCA intergenic region
VOG00620	52	18	Xu	REFSEQ hypothetical protein
VOG00621	16	16	Xs	sp|P03740|TFA_LAMBD Tail fiber assembly protein
VOG00622	81	81	Xu	REFSEQ hypothetical protein
VOG00623	13	13	Xh	sp|Q5UQ62|YR655_MIMIV Putative glycosyltransferase R655
VOG00624	51	51	Xu	REFSEQ hypothetical protein
VOG00625	19	19	Xu	REFSEQ hypothetical protein
VOG00626	24	14	Xu	REFSEQ hypothetical protein
VOG00627	61	61	Xu	REFSEQ hypothetical protein
VOG00628	76	17	Xu	sp|Q5UNT0|YL674_MIMIV Putative BTB/POZ domain-containing protein L674
VOG00629	15	15	Xu	REFSEQ tail protein
VOG00630	259	258	Xu	sp|P17308|Y13B_BPT4 Uncharacterized 11.5 kDa protein in Gp31-cd intergenic region
VOG00631	115	99	Xu	REFSEQ hypothetical protein
VOG00632	25	25	Xu	REFSEQ hypothetical protein
VOG00633	15	15	Xu	REFSEQ hypothetical protein
VOG00634	31	25	Xu	REFSEQ hypothetical protein
VOG00635	28	27	Xu	REFSEQ hypothetical protein
VOG00636	91	91	Xu	REFSEQ hypothetical protein
VOG00637	41	41	Xu	REFSEQ hypothetical protein
VOG00638	49	49	Xu	REFSEQ hypothetical protein
VOG00639	172	171	Xh	sp|P20833|V11_BPT3 Gene 1.1 protein
VOG00640	48	47	Xu	REFSEQ hypothetical protein
VOG00641	66	51	Xu	REFSEQ hypothetical protein
VOG00642	67	67	Xu	sp|P18922|Y16J_BPT4 Uncharacterized 5.1 kDa protein in Gp52-ac intergenic region
VOG00643	19	13	Xu	REFSEQ hypothetical protein
VOG00644	9	9	Xu	REFSEQ hypothetical protein
VOG00645	18	5	Xu	sp|Q8QL18|Y95_SIRV1 Uncharacterized protein 95
VOG00646	43	42	Xu	REFSEQ transcriptional regulator
VOG00647	12	10	Xu	REFSEQ hypothetical protein
VOG00648	80	80	Xu	REFSEQ holin
VOG00649	29	28	Xp	sp|O57173|F1_VACCA Protein F1
VOG00650	15	14	Xu	REFSEQ hypothetical protein
VOG00651	77	59	Xu	REFSEQ hypothetical protein
VOG00652	2933	2854	Xu	sp|O64206|VG13_BPMD2 Gene 13 protein
VOG00653	44	44	Xu	REFSEQ HNH endonuclease
VOG00654	161	161	Xu	REFSEQ hypothetical protein
VOG00655	191	189	Xu	sp|P36934|VPS_BPP2 Tail completion protein S
VOG00656	121	120	Xu	REFSEQ hypothetical protein
VOG00657	136	75	Xu	REFSEQ hypothetical protein
VOG00658	46	45	Xu	sp|Q3V4V8|Y189_ATV Putative zinc finger protein ORF189
VOG00659	19	19	Xu	REFSEQ tailspike
VOG00660	348	342	Xu	sp|Q05286|VG71_BPML5 Repressor-like immunity protein
VOG00661	289	285	Xs	sp|P39234|NEED5_BPT4 Baseplate puncturing device gp5.4
VOG00662	20	19	Xu	REFSEQ hypothetical protein
VOG00663	49	49	Xu	REFSEQ hypothetical protein
VOG00664	25	14	Xh	sp|P17365|C13_VACCW Protein C13
VOG00665	11	11	Xu	REFSEQ hypothetical protein
VOG00666	160	158	Xu	REFSEQ BR0599 family protein
VOG00667	25	25	Xu	REFSEQ hypothetical protein
VOG00668	426	424	XhXr	sp|P03691|VR2B_BPT4 Protein rIIB
VOG00669	487	473	Xu	sp|Q5UQE7|YL479_MIMIV Uncharacterized protein L479
VOG00670	97	97	Xh	sp|Q7N1I2|HICA1_PHOLL Probable mRNA interferase HicA 1
VOG00671	10	10	XpXs	sp|Q6XQB2|FIBER_BPT1 Probable tail fiber protein
VOG00672	43	42	Xu	sp|P76512|YFDP_ECOLI Uncharacterized protein YfdP
VOG00673	13	13	Xu	REFSEQ DUF2190 family protein
VOG00674	14	14	Xu	REFSEQ tail-type lysozyme domain-containing protein
VOG00675	140	138	Xu	REFSEQ hypothetical protein
VOG00676	11	11	Xu	REFSEQ hypothetical protein
VOG00677	22	21	Xu	REFSEQ hypothetical protein
VOG00678	51	51	Xu	REFSEQ hypothetical protein
VOG00679	23	20	Xu	sp|Q5UQL8|YR424_MIMIV Uncharacterized protein R424
VOG00680	85	85	Xu	sp|P03041|RPC1_BPP22 Transcriptional activator protein C1
VOG00681	115	112	XhXs	sp|P21679|BPD_BP186 Probable baseplate hub protein
VOG00682	24	24	Xu	sp|Q9T1U6|VP02_BPAPS Putative protein P2
VOG00683	8	7	Xu	REFSEQ hypothetical protein
VOG00684	26	25	Xu	REFSEQ hypothetical protein
VOG00685	28	28	Xu	REFSEQ hypothetical protein
VOG00686	57	57	Xu	REFSEQ DUF1351 domain-containing protein
VOG00687	13	7	Xu	REFSEQ hypothetical protein
VOG00688	48	47	Xu	REFSEQ hypothetical protein
VOG00689	21	21	Xu	sp|O64221|VG27_BPMD2 Minor tail protein Gp27
VOG00690	98	97	XhXpXrXs	sp|P35837|NEEDL_BPP22 Tail needle protein gp26
VOG00691	11	11	Xu	REFSEQ hypothetical protein
VOG00692	42	42	Xu	REFSEQ hypothetical protein
VOG00693	18	18	Xu	REFSEQ hypothetical protein
VOG00694	391	383	XhXs	sp|P06807|PCPP_BPT4 Prohead core protein protease
VOG00695	48	48	XhXr	sp|P03763|TARGB_BPMU ATP-dependent target DNA activator B
VOG00696	130	116	Xu	sp|O10310|Y053_NPVOP Uncharacterized 17.0 kDa protein
VOG00697	17	17	Xu	REFSEQ head-tail joining protein
VOG00698	67	66	XhXr	sp|A8H161|CCA_SHEPA Multifunctional CCA protein
VOG00699	35	17	Xu	REFSEQ hypothetical protein
VOG00700	75	75	Xu	sp|O64363|VG55_BPN15 Protein gp55
VOG00701	395	387	XhXpXrXs	sp|E1XTG6|PORTL_BPSAV Portal protein
VOG00702	565	565	Xu	sp|O64201|VG05_BPMD2 Gene 5 protein
VOG00703	103	95	XhXp	sp|P03705|HOLIN_LAMBD Antiholin
VOG00704	32	31	XhXp	sp|Q9T1X1|SPAN1_BPMU Probable spanin, inner membrane subunit
VOG00705	51	51	XhXp	sp|Q7Y2B9|SPAN1_BPKMV Probable spanin, inner membrane subunit
VOG00706	9	7	XhXp	sp|Q2NNU1|VIE2_NPVHC E3 ubiquitin-protein ligase IE2
VOG00707	12	11	Xu	REFSEQ putative tail fiber protein
VOG00708	57	56	Xu	sp|Q38665|NINX_BPP22 Putative protein ninX
VOG00709	81	81	XhXrXs	sp|P68317|RP07_VACCW DNA-directed RNA polymerase 7 kDa subunit
VOG00710	15	15	Xu	sp|P33227|STFE_ECOLI Putative uncharacterized protein StfE
VOG00711	382	382	Xu	sp|Q05239|VG30_BPML5 Gene 30 protein
VOG00712	33	31	Xu	sp|P20222|F93_SSV1 Protein F-93
VOG00713	126	125	XhXs	sp|P25477|CAPSD_BPP2 Capsid proteins
VOG00714	12	12	Xs	sp|Q38305|TMP_BPLC2 Probable tape measure protein
VOG00715	40	38	Xu	REFSEQ tail protein
VOG00716	15	15	Xu	sp|Q196V5|VF359_IIV3 Uncharacterized protein 105R
VOG00717	138	135	Xu	sp|Q9XJQ9|GPL_BPPM2 Uncharacterized protein Gp-l
VOG00718	128	128	Xu	REFSEQ hypothetical protein
VOG00719	131	130	Xu	sp|A9CRB8|TAIL_BPMR1 Putative tail protein
VOG00720	17	17	Xu	REFSEQ hypothetical protein
VOG00721	19	19	XrXs	sp|P32503|GAG_SCVLA Major capsid protein
VOG00722	26	26	Xu	REFSEQ hypothetical protein
VOG00723	29	29	Xu	REFSEQ hypothetical protein
VOG00724	347	345	XhXr	sp|P00581|DPOL_BPT7 DNA-directed DNA polymerase
